City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,filadelfia,39.9523,-75.1638,27.15,83,75,2.06,US,1688858895
345,iglino,54.8324,56.4126,16.05,66,10,1.21,RU,1688859065
346,kaa-khem,51.6833,94.7333,18.85,69,62,0.55,RU,1688859066
347,dongcun,36.7767,121.1597,27.47,76,87,1.18,CN,1688859067
348,axim,4.8699,-2.2405,24.6,90,95,3.51,GH,1688859067
349,chita,52.0333,113.55,13.94,100,40,1.0,RU,1688858918
350,cannonvale,-20.2833,148.7,19.66,46,84,6.7,AU,1688859069
351,nar'yan-mar,67.6713,53.087,5.15,78,100,4.58,RU,1688859070
352,dawei,14.0833,98.2,25.67,92,87,0.92,MM,1688859070
353,langepas,61.2544,75.2124,14.66,89,21,3.84,RU,1688859071
354,linevo,54.4589,83.3764,14.18,93,62,4.38,RU,1688859072
355,harsin,34.2721,47.5861,22.45,27,0,1.3,IR,1688859072
356,sokone,13.8833,-16.3667,29.15,65,97,4.48,SN,1688859073
357,thunder bay,48.4001,-89.3168,19.95,52,20,4.12,CA,1688858222
358,port pirie,-33.1833,138.0167,13.77,73,70,4.04,AU,1688859074
359,hafar al-batin,28.4328,45.9708,32.32,20,0,0.0,SA,1688859075
360,colchani,-20.3,-66.9333,6.44,16,15,4.83,BO,1688859076
361,puerto baquerizo moreno,-0.9,-89.6,24.89,79,40,6.88,EC,1688859010
